topic,weibo_content,weibo_id
市场监管,【国家药监局会同多部门组成核查组赴武汉核查百白破疫苗处置工作】新华社北京8月1日电为进一步落实习近平总书记、李克强总理重要指示批示精神，保障人民群众身体健康，8月1日，按照国务院要求，国家药监局会同卫生健康委等部门组成由国家药监局党组书记、副局长李利任组长的核查组，赴武汉就武汉生物制品研究所有限责任公司（简称武汉生物）2017年效价不合格百白破疫苗处置工作开展核查。,4268199685749900
金融无关,【金华一小区两业主买下327个车位引不满，称协议是商业机密】L浙江日报的秒拍视频 浙江金华泰地·金水湾小区两位业主一口气买下327个车位，小区居民对此强烈不满。该业主无法提供327个车位的买卖发票、买卖协议、打款凭证，同时在327个车位上安装车锁，在产权还未明确的情况下，有霸占车位的嫌疑。对此，买车位的两位业主表示，协议是商业机密，不会公开。（@浙江日报 ）,4268198998535590
金融无关,【夏天图凉快 这几种误区可能致面瘫、晕厥】酷暑难耐，风扇、空调成了“解暑”利器。吹起电扇没够、一身大汗后立刻吹空调……殊不知，一时的痛快可能让你“很受伤”！腰酸背疼、晕厥，甚至还可能面瘫或得肺炎。戳图↓使用风扇、空调避免8大误区， 给你关心的TA!@央视新闻,4268198997967540
微观经济-企业与房地产,新华社5评楼市乱象背后：中央明确房价不能涨，调控将再加码。（澎湃）,4268197840714210
金融无关,【华大基因：湖南案例孕妇不是漏检 不存在赔偿的说法】有网文爆湖南长沙一名孕妇在经无创产前筛查之后生下问题男婴，令华大基因的无创产筛一度受到质疑。8月1日上午，华大基因方面表示，认为“华大漏检”是概念性错误，实际上该案例并不在华大的无创产前基因检测范围之内，因此也不存在对对方赔偿的说法。后续华大会从人道主义考虑，以给予医疗上的建议等方式给予关怀。（证券时报 刘凡）,4268193171724070
微观经济-企业与房地产,【潘石屹：我们有钱，特别怕去管别人的钱】7月31日，潘石屹被问及SOHO3q融资的问题，他表示去年公司负债率4.1%，可能是全中国房地产最低的，还没有融资打算[哈欠]。“我们又不是创业企业，我们有钱。现在大家都融资了上市了，我还特别怕管别人的钱。”,4268192442834100
金融无关,【厉害了！大爷用冰糕棍做环保艺术品】这些精致的古建筑模型都出自70岁的张小成之手。张大爷平日最大的乐趣就是收集丢弃的冰糕棍，将其清洗、漂白、蒸煮、晾晒后，制作成古建筑模型。近年来，他已创作了60余件作品，多次在社区和学校展出，受到观众喜爱。（新华社记者 王晓 摄）,4268191666061520
银行保险业-债券,【7月份违约债券再添丁 6只新增债券涉余额68.26亿元】7月30日，大连机床公告称，其发行的4亿元中期票据“15机床MTN001”应于当日兑付本息，但由于公司已于2017年11月10日被大连中级法院依法裁定进入重整程序，目前重整工作仍在进行当中，该期中票不能按期足额兑付本息，已构成实质性违约。,4268191448945070
微观经济-企业与房地产,发表了博文《中国的国内企业为何喜欢炒房？》最近，不少城市的房地产调控政策，都在限制以企业的名义购买住房。因为，企业炒作住房，不仅容易推高房价，而且也会影响企业对实业的投资，不利经济发展。而限制企业炒作,4268189418442330
微观经济-企业与房地产,【乱象！超千家上市公司“炒房”近万亿，对企业投机“炒房”如何围堵？】以上海为例，备受关注的老牌豪宅翠湖天地4月10日开盘推出118套房源，据上海公证网公布的信息，共有385组客户参与上述楼盘摇号，其名单中的公司客户达214组，占比55.6%，超过了总认购数量的一半多（半月谈）,4268188789038180
